week_date,danceability,energy,valence,acousticness,tempo,loudness,speechiness,instrumentalness,liveness,key,mode,neg,neu,pos,compound,num_songs_on_chart,spotify_track_explicit,Peak Position,Weeks on Chart,year,month,day_of_year,week_of_year,quarter,is_holiday_season,DATE,USREC,UNRATE,GDP,CPIAUCSL,dominant_topic,second_topic,dominant_topic_prob,second_topic_prob,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,dominant_topic_label,second_topic_label
1988-10-31,0.6380180194716315,0.6792683136716875,0.6354393812620167,0.1740172963485054,119.63240150529946,-10.08235470671781,0.0467095905031512,0.020950656671272,0.152997009948374,4.676665925933083,0.7411596667342988,0.0746679999999999,0.764926,0.1603739999999999,0.4532087999999999,100.0,0.0,37.638,8.75,1988.0,10.0,289.0,41.0,4.0,0.0,1988-10-01,0,5.4,5399.509,119.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-11-30,0.6316368645312959,0.6621318689391713,0.6136128416103438,0.2056393754040552,119.30870140317369,-10.04381101234205,0.0447232478695268,0.026840487437555,0.1638567771084337,4.730127828386718,0.7788348516015281,0.0753124999999999,0.763455,0.1612324999999999,0.493345,100.0,0.0,39.28,8.3675,1988.0,11.0,320.5,45.5,4.0,1.0,1988-11-01,0,5.3,5399.509,120.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,0.634988850174216,0.653852206736353,0.6181526713124275,0.194964657142857,119.89393292682924,-10.078401045296166,0.0496493437862949,0.0256322365853658,0.1620724738675957,5.192276422764228,0.7559233449477352,0.072312,0.7740720000000001,0.1536,0.4361076,100.0,0.0072009291521486,34.928000000000004,9.932,1988.0,12.0,352.0,50.0,4.0,1.0,1988-12-01,0,5.3,5399.509,120.7,14,20,0.087727904,0.08745339,0.023430808,0.037081584,0.04180122,0.033355433,0.023858726,0.012366665,0.07415617,0.026464546,0.022315778,0.016810173,0.027758699,0.021102719,0.014479801,0.027865123,0.087727904,0.023822283,0.022429641,0.03857969,0.03672654,0.042723402,0.08745339,0.063247256,0.0204056,0.009249133,0.026378186,0.021823408,0.013968995,0.029518764,0.024744807,0.048353598,,
1989-01-31,0.6251461346589243,0.6674168035413506,0.6257956517328335,0.1979479767691454,120.62752255654536,-10.05673543572848,0.0513384131151711,0.026770938220001,0.1735468314315803,5.643812217595322,0.7724563047700022,0.06879,0.78002,0.1511725,0.4358959999999999,100.0,0.0118046363481189,34.4025,10.69,1989.0,1.0,17.5,2.5,1.0,0.0,1989-01-01,0,5.4,5511.253,121.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-02-28,0.6179153025233629,0.6919187892472763,0.6463004697311818,0.2133582657030309,122.44091921777397,-9.662633702800257,0.0498255542415901,0.0257096110514561,0.1778361496876699,5.613945247474165,0.7904088309462199,0.0604474999999999,0.7870699999999999,0.1524525,0.52716925,100.0,0.0058823529411764,35.0825,9.6425,1989.0,2.0,45.5,6.5,1.0,0.0,1989-02-01,0,5.2,5511.253,121.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-03-31,0.6144984381972334,0.7100702439387179,0.6635963855421687,0.1939948755391937,121.57869634091924,-9.561715231295551,0.0499694258515543,0.0118645126059794,0.1861585899152164,5.569239922653577,0.725717685557043,0.055035,0.79967,0.1452675,0.49643225,100.0,0.0,37.275,8.825,1989.0,3.0,73.5,10.5,1.0,0.0,1989-03-01,0,5.0,5511.253,122.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-04-30,0.6236576746461908,0.6994869474555856,0.6552935561577838,0.1957260501708822,118.69071638888887,-9.745838038241493,0.047201447380307,0.0109181584439927,0.1711201157031014,5.483732309545318,0.7072651309846432,0.0576919999999999,0.78601,0.1563,0.5439144,100.0,0.0,36.732,8.878,1989.0,4.0,105.0,15.0,2.0,0.0,1989-04-01,0,5.2,5612.463,123.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-05-31,0.6329728162650602,0.7117346762048193,0.655425,0.1732345559864457,117.29918298192771,-9.316535429216868,0.0455663177710842,0.015540669879518,0.1890079292168674,5.279141566265061,0.6387424698795181,0.064285,0.7795075,0.1561924999999999,0.5639147499999999,100.0,0.0,36.2075,8.9775,1989.0,5.0,136.5,19.5,2.0,0.0,1989-05-01,0,5.2,5612.463,123.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-30,0.6419715594630041,0.6927392664980407,0.6439058307992911,0.1512988810524479,118.16531712321614,-9.373129032269324,0.0524254240505923,0.0242651615376603,0.173486065422222,5.150781145445299,0.6107428264201402,0.0635125,0.7872075,0.149295,0.5414275,100.0,0.0059882386689615,37.915,8.73,1989.0,6.0,164.5,23.5,2.0,0.0,1989-06-01,0,5.3,5612.463,124.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-07-31,0.6256613597139522,0.6680209828559507,0.6123314720485962,0.1640367297701242,119.26291857032956,-9.493651503026545,0.0569608557727861,0.0207398437805669,0.1674993762777471,5.326076940056833,0.6826497414934053,0.06266,0.787338,0.150026,0.5532004,100.0,0.0118253611222101,37.010000000000005,9.134,1989.0,7.0,196.0,28.0,3.0,0.0,1989-07-01,0,5.2,5695.365,124.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
