week_date,danceability,energy,valence,acousticness,tempo,loudness,speechiness,instrumentalness,liveness,key,mode,neg,neu,pos,compound,num_songs_on_chart,spotify_track_explicit,Peak Position,Weeks on Chart,year,month,day_of_year,week_of_year,quarter,is_holiday_season,DATE,USREC,UNRATE,GDP,CPIAUCSL,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,dominant_topic,second_topic,dominant_topic_prob,second_topic_prob,dominant_topic_label,second_topic_label
2016-01-31,0.6571281401926601,0.674522375926913,0.4755939248099566,0.1572373102154875,124.9678744350163,-6.056466994854825,0.1063421219403493,0.00328132705154,0.1877211685052,5.2109964394497705,0.6504922336893884,0.0669275143288084,0.8203522971342382,0.1126888084464554,0.2887889622926093,101.2,0.3354479137234111,40.60350377073907,13.262126696832578,2016.0,1.0,16.0,12.6,1.0,0.0,2016-01-01,0,4.8,18525.933,237.652,0.034636784999999996,0.0240140168,0.0253771162,0.0208159334,0.016083603199999998,0.0124988774,0.0327952418,0.0242716358,0.027403956,0.0371589064,0.031073901800000005,0.0189661926,0.0277602458,0.03231140959999999,0.07393976099999999,0.015298516600000001,0.0263552456,0.0229674282,0.0642336132,0.0265412972,0.0388747676,0.0944276998,0.026758799,0.0636908982,0.020586740599999997,0.0187421628,0.014115561599999998,0.0461831398,0.054498970800000004,0.027617531,21,14,0.0944276998,0.07393976099999999,,
2016-02-29,0.6581757111935683,0.6888134405277262,0.4765618480725623,0.1539654518655946,120.37267362399506,-5.880194367140796,0.104109181096681,0.0031207560554524,0.1734009637188208,5.443078746650175,0.6253607503607503,0.07232,0.81271,0.1149625,0.2587109999999999,100.0,0.3240311276025561,41.29,13.2675,2016.0,2.0,47.5,6.5,1.0,0.0,2016-02-01,0,4.9,18525.933,237.336,0.029791923749999998,0.0207822605,0.02361794975,0.02708216475,0.0152577205,0.01558937625,0.0375520065,0.023926242,0.03794744725,0.03647736,0.0258680155,0.01696401775,0.0270331255,0.04282691175,0.07325070375,0.01576428475,0.02573629025,0.02379843075,0.07579150999999999,0.02649057875,0.03883753425,0.0864680815,0.02747424775,0.05046258325,0.0278297645,0.0179540585,0.0137081255,0.04161654025,0.04955806725,0.024542625999999998,21,18,0.0864680815,0.07579150999999999,,
2016-03-31,0.6485506483843537,0.6552483742076376,0.4670104377641207,0.1824051829938414,120.47898927250826,-6.107197238649247,0.1071096880797773,0.0042592559604333,0.1512874254341887,5.693827625747268,0.6018990929705216,0.0705225,0.82114,0.1083349999999999,0.2121269999999999,100.0,0.331684188827046,40.8575,13.1625,2016.0,3.0,75.5,10.5,1.0,0.0,2016-03-01,0,5.0,18525.933,238.08,0.029895250749999998,0.023143125,0.0240692645,0.028841371999999997,0.01623168975,0.01676115375,0.04205999425,0.02672675625,0.03885453475,0.034284615500000004,0.01992956525,0.0165264655,0.025501806000000002,0.05056130625,0.07139362225,0.021027919,0.02182088975,0.023837169,0.077145059,0.02377034025,0.034639937999999995,0.083314895,0.02639562325,0.04827204025,0.031428264500000004,0.0191285825,0.011457357,0.032019242999999996,0.054250060749999995,0.026712071,21,18,0.083314895,0.077145059,,
2016-04-30,0.6440816326530612,0.6390683673469388,0.459298163265306,0.1853312653061224,119.8907081632653,-6.20525306122449,0.1080848979591836,0.003750581632653,0.1588918367346938,5.475510204081632,0.5979591836734695,0.071208,0.825562,0.103248,0.231346,100.0,0.3551020408163265,40.518,12.264,2016.0,4.0,107.0,15.0,2.0,0.0,2016-04-01,0,5.1,18711.702,238.992,0.030567409,0.0298362478,0.0248780514,0.027297571599999997,0.0183616926,0.0155675552,0.0327110136,0.0271843696,0.0410284168,0.0356977406,0.0254145738,0.0150996836,0.028872963,0.0517918828,0.073025271,0.0179542102,0.0182600298,0.021978715200000002,0.070353607,0.0207552102,0.028070837799999998,0.0951759338,0.027088769800000002,0.0529257348,0.0283265194,0.019238693,0.015222175799999998,0.026674267600000003,0.050567764,0.030073071,21,14,0.0951759338,0.073025271,,
2016-05-31,0.6444920949049723,0.6144044405616628,0.4435909198795497,0.1873204968780681,119.88316360336016,-6.791999463606319,0.1239655402947261,0.0076615357016839,0.1850499682766146,5.344474871134021,0.6185632758257942,0.0679424999999999,0.8363700000000001,0.0956974999999999,0.29348725,100.0,0.4459792937793674,38.0775,11.2925,2016.0,5.0,138.5,19.5,2.0,0.0,2016-05-01,0,4.8,18711.702,239.557,0.03443779975,0.02812048525,0.02131005425,0.0318307225,0.0197625645,0.01185273525,0.02900695075,0.02109702475,0.03294103,0.03415895725,0.03073139375,0.013970066125,0.02632005925,0.04491235375,0.068712314,0.015843877125,0.017561735,0.03041795575,0.06590779199999999,0.0177983605,0.02525036525,0.11762783375,0.027994888,0.05912485,0.023778175,0.0202143985,0.0224439245,0.0300089005,0.046026593000000005,0.030835810999999998,21,14,0.11762783375,0.068712314,,
2016-06-30,0.6462632401315789,0.6194007401315789,0.4519826781798245,0.183253152741228,120.65786565241228,-6.607754111842105,0.1266297752192982,0.0045474890624999,0.1682874890350876,5.400822368421053,0.5837445175438596,0.064115,0.83665,0.0992325,0.3574615,100.0,0.4189418859649123,41.2225,11.355,2016.0,6.0,166.5,23.5,2.0,0.0,2016-06-01,0,4.9,18711.702,240.222,0.037524197,0.0248336505,0.023520903500000002,0.0313443045,0.01863513725,0.01036605625,0.02464135275,0.023456658499999998,0.02888391925,0.02318556025,0.026810674,0.0176727055,0.02456499625,0.04349427375,0.07198286225,0.0164643895,0.020169069749999997,0.03391137425,0.0664215235,0.02179500825,0.027282295249999998,0.11741613,0.02611286425,0.05371027775,0.0256050495,0.030118994,0.02262278275,0.03243606825,0.0443586405,0.03065825225,21,14,0.11741613,0.07198286225,,
2016-07-31,0.6485465359004925,0.6366586361063951,0.4645574399210104,0.1700342471355464,121.9777050312466,-6.43474873267589,0.1254518761454081,0.0046862302118026,0.1799583476261002,5.374798010812894,0.5338645859673206,0.068062,0.8332459999999999,0.098718,0.3005922,100.0,0.387676431985936,40.862,12.212,2016.0,7.0,198.0,28.0,3.0,0.0,2016-07-01,0,4.8,18892.639,240.101,0.049136126200000005,0.025394827600000003,0.020611949,0.0271678086,0.0204279542,0.0081867912,0.0140458164,0.023537550600000002,0.0270510596,0.0295140868,0.027223692,0.0167299279,0.024695512,0.044154943200000005,0.072108882,0.013112807600000002,0.0248596548,0.0320266268,0.071202327,0.0203555718,0.0266992042,0.12434327919999999,0.0230048822,0.0533935128,0.0253611798,0.03339827,0.019896530000000003,0.0240941878,0.0422410044,0.0360239796,21,14,0.12434327919999999,0.072108882,,
2016-08-31,0.6485816151202749,0.6459306003006873,0.4602965125644329,0.1473674267074741,120.25287422143472,-6.290889819587629,0.1272801385309278,0.0045464166666666,0.1831974253651201,5.788445017182131,0.5116784793814433,0.0622324999999999,0.8440799999999999,0.0936774999999999,0.304453,100.0,0.4005584192439863,39.9925,12.5225,2016.0,8.0,229.5,32.5,3.0,0.0,2016-08-01,0,4.9,18892.639,240.545,0.05276462625,0.02651683725,0.01770418525,0.02022775825,0.02779610975,0.007981368475,0.019220831,0.0199238785,0.02337882575,0.02924619725,0.0224928295,0.012713132125,0.022232336,0.043628946,0.0726000765,0.0150284195,0.025211786,0.036299222,0.0761774135,0.0177845565,0.0274435815,0.121356704,0.022446373250000002,0.0515329585,0.02231624775,0.03516894675,0.024853774,0.030102493,0.04089245875,0.03495708175,21,18,0.121356704,0.0761774135,,
2016-09-30,0.6496835106382979,0.6351489361702127,0.4452898936170212,0.1467584574468085,119.15451861702128,-6.339159574468085,0.1297773936170212,0.004627699468085,0.1780936170212765,5.832446808510638,0.5265957446808511,0.062605,0.8453425,0.0920425,0.25852825,100.0,0.4654255319148935,40.3825,12.575,2016.0,9.0,257.5,36.5,3.0,0.0,2016-09-01,0,5.0,18892.639,241.176,0.051278159000000004,0.02348216175,0.024203922750000002,0.020283978,0.0248412255,0.007372808225,0.02361092825,0.022229752749999998,0.022352093,0.026059224,0.02681058825,0.01349082375,0.016506654500000002,0.045632558000000004,0.0622885175,0.019838842000000002,0.029845167,0.0367886885,0.065006851,0.01723858675,0.034647324,0.12062965375000001,0.0201976865,0.05855041375,0.016024450375,0.03350424,0.027612202,0.02710844225,0.0470320205,0.035532005,21,18,0.12062965375000001,0.065006851,,
2016-10-31,0.65482963094077,0.637004190538116,0.440573064961649,0.1543307169719081,118.51905044082407,-6.3532558176498215,0.1354319025394646,0.0049303352854338,0.1805741231562089,5.40264711194596,0.5690975207407675,0.056944,0.8555659999999999,0.0874739999999999,0.2539985999999999,100.0,0.4457284253874219,39.186,12.746,2016.0,10.0,289.0,41.0,4.0,0.0,2016-10-01,0,4.9,19089.379,241.741,0.0410993908,0.026268555399999997,0.021887917200000002,0.0281446028,0.0231625426,0.0094911186,0.040604702000000006,0.023455211400000002,0.0301813528,0.025467121000000002,0.022838893199999998,0.0157759497,0.0140553337,0.042022351,0.0529210526,0.026475926,0.029334622999999997,0.038616063,0.0496386214,0.016790828299999998,0.0417226892,0.093246421,0.019941292,0.0587809012,0.0286873612,0.0409761132,0.0230698506,0.0324094982,0.0464061804,0.0365275024,21,23,0.093246421,0.0587809012,,
