week_date,danceability,energy,valence,acousticness,tempo,loudness,speechiness,instrumentalness,liveness,key,mode,neg,neu,pos,compound,num_songs_on_chart,spotify_track_explicit,Peak Position,Weeks on Chart,year,month,day_of_year,week_of_year,quarter,is_holiday_season,DATE,USREC,UNRATE,GDP,CPIAUCSL
1977-03-31,0.5642895623339584,0.6040226651625253,0.6230038961165807,0.3160594950851695,121.2791915304149,-9.63303239080325,0.0538136360173464,0.03505798371522888,0.19665613059657755,5.790291940146898,0.7493070206282232,0.0446575,0.82776,0.1275775,0.496552,100.0,0.0,45.555,7.4325,1977.0,3.0,74.5,10.5,1.0,0.0,1977-03-01,0,7.4,1988.648,59.6
1977-04-30,0.5705112962962963,0.6055862037037036,0.6518995987654321,0.325423531728395,121.29293206790123,-9.666312160493828,0.045658262345678956,0.03758023719135798,0.1916519722222222,5.200277777777778,0.7866358024691358,0.047954000000000004,0.815504,0.13654799999999997,0.49434279999999997,100.0,0.0,43.474000000000004,7.49,1977.0,4.0,106.0,15.0,2.0,0.0,1977-04-01,0,7.2,2055.909,60.0
1977-05-31,0.5932894744008714,0.5984433691490063,0.6815443107546049,0.30901899535056443,120.26582941341519,-10.0180420446293,0.04266011380141275,0.03218670521019008,0.15754506255364092,5.013567042978808,0.8138860005281574,0.057857500000000006,0.8033300000000001,0.13883500000000001,0.49273549999999994,100.0,0.0,44.177499999999995,7.1975,1977.0,5.0,137.5,19.5,2.0,0.0,1977-05-01,0,7.0,2055.909,60.2
1977-06-30,0.603250622605364,0.5839437840627368,0.6565023425430778,0.30221895537141186,119.30251696029771,-10.091124167767944,0.04406737564539918,0.02774795795070375,0.1784983823529411,4.916123583707256,0.768457905628291,0.05849,0.791365,0.15018499999999999,0.54497675,100.0,0.0,43.3275,7.467499999999999,1977.0,6.0,165.5,23.5,2.0,0.0,1977-06-01,0,7.2,2055.909,60.5
1977-07-31,0.6145075756010316,0.6035376384535005,0.6861486892872937,0.2864895936572427,118.86249005344025,-10.034332134303124,0.04519567210853198,0.02057685568184748,0.16880538573452458,4.692466391931715,0.7671106258243027,0.05689199999999998,0.789142,0.15398599999999998,0.5101808,100.0,0.0,41.922000000000004,8.038,1977.0,7.0,197.0,28.0,3.0,0.0,1977-07-01,0,6.9,2118.473,60.8
1977-08-31,0.6132551695616212,0.609846921895309,0.6773028772302966,0.2646344266217653,120.18221963251801,-10.095982955216826,0.04596950254047025,0.048406336966796575,0.17196508034975774,4.620051991019733,0.749970459647879,0.059157499999999974,0.7716625,0.16915249999999993,0.566484,100.0,0.01087084958052695,41.85,8.3025,1977.0,8.0,228.5,32.5,3.0,0.0,1977-08-01,0,7.0,2118.473,61.1
1977-09-30,0.5865780081422516,0.5834243295263757,0.6169441728892959,0.26223606308410524,117.72169768625326,-10.420095918747725,0.04607461134250285,0.054685403528700355,0.16387116754282455,4.998835091519613,0.7152361957427824,0.05565999999999997,0.7767,0.16758999999999996,0.56548,100.0,0.011463851343326049,41.14,8.515,1977.0,9.0,256.5,36.5,3.0,0.0,1977-09-01,0,6.8,2118.473,61.3
1977-10-31,0.58347416910401,0.564186739804093,0.6157407525166847,0.28968710146372656,116.72294367126615,-10.791121555372246,0.04500563431537656,0.0485963322312518,0.16949537579426877,5.130998649794861,0.7244526587507044,0.062209999999999974,0.765692,0.17204,0.5374954000000001,100.0,0.011420663078004819,41.001999999999995,8.495999999999999,1977.0,10.0,288.0,41.0,4.0,0.0,1977-10-01,0,6.8,2164.27,61.6
1977-11-30,0.5884041323844694,0.5600592384090628,0.6123261974331847,0.31430385050834,118.39694484869064,-10.578654832176252,0.0463098783239232,0.055208203247595025,0.18368468350469752,5.275649210340221,0.7519822172209812,0.06181999999999997,0.7850475,0.15306999999999998,0.4559235,100.0,0.00849225008707765,41.785,8.535,1977.0,11.0,319.5,45.5,4.0,1.0,1977-11-01,0,6.8,2164.27,62.0
1977-12-31,0.5816871543799091,0.5586875586453453,0.606736964208141,0.31152589833662075,118.98647101810431,-10.277911803916734,0.04817809434914817,0.07111379574043411,0.20569741370504735,4.924606389348737,0.7717739189649302,0.05898199999999996,0.784024,0.156998,0.49066580000000004,100.0,0.011494860392213998,40.916,8.858,1977.0,12.0,351.0,50.0,4.0,1.0,1977-12-01,0,6.4,2164.27,62.3
1978-01-31,0.5833567967884827,0.5574122577519379,0.6066248546511628,0.30715187091638974,120.08652263289036,-10.31844338316722,0.045208513289036474,0.06900402422480616,0.1936119047619047,4.9320321151716495,0.7275747508305648,0.0582375,0.7812025,0.16055749999999996,0.500956,100.0,0.01183554817275745,41.725,9.305,1978.0,1.0,17.5,2.5,1.0,0.0,1978-01-01,0,6.4,2202.76,62.7
1978-02-28,0.5972330025677623,0.5879590080706099,0.6427624533849685,0.29469517216951424,119.6534440838266,-10.01287840998139,0.0449486716027874,0.0706542555010984,0.19297419390103962,5.220480353469627,0.6777239620502917,0.0599325,0.7910925,0.1489675,0.4834765,100.0,0.0,43.335,8.809999999999999,1978.0,2.0,45.5,6.5,1.0,0.0,1978-02-01,0,6.3,2202.76,63.0
1978-03-31,0.6160380621878997,0.5779972734752397,0.672193284619207,0.30091227049822,116.75564929169009,-10.204814746205919,0.0469617524051581,0.04889241371693665,0.17978600307925408,5.369645722850835,0.6709124530576668,0.059262499999999996,0.7979,0.1428625,0.4955825,100.0,0.0,45.14,8.1225,1978.0,3.0,73.5,10.5,1.0,0.0,1978-03-01,0,6.3,2202.76,63.4
1978-04-30,0.61248569150538,0.6020109337270071,0.6902378837606591,0.25744647772634294,118.50279452426511,-10.1665979678275,0.045988697566801004,0.026847346084968,0.18523956724217563,5.18508470580217,0.6464330626733297,0.05310599999999997,0.8072419999999999,0.13969399999999998,0.5024609999999999,100.0,0.0,40.872,9.072,1978.0,4.0,105.0,15.0,2.0,0.0,1978-04-01,0,6.1,2331.633,63.9
1978-05-31,0.5970584417030909,0.5990109373984034,0.6736672825681225,0.26258602381756546,117.50731006724945,-10.290420300966899,0.045243096274488526,0.019161162342111224,0.16957849856711094,5.269086021505377,0.6595546002962107,0.05368,0.8072075000000001,0.13911,0.47819375,100.0,0.0,39.707499999999996,8.97,1978.0,5.0,136.5,19.5,2.0,0.0,1978-05-01,0,6.0,2331.633,64.5
1978-06-30,0.6019581826179439,0.5865590887342994,0.6753482616400454,0.2647216224470753,117.9032138402328,-10.414063944833256,0.0464725157917924,0.024696853030045728,0.14888116595483158,5.62345589803455,0.668540027388342,0.05667999999999997,0.80973,0.1336225,0.46831999999999996,100.0,0.0,42.375,7.57,1978.0,6.0,164.5,23.5,2.0,0.0,1978-06-01,0,5.9,2331.633,65.0
1978-07-31,0.5983410821700147,0.5836147655203723,0.6650302587674497,0.24481140957893538,118.36348801384634,-10.348931692770401,0.04751260736579272,0.018174645844966458,0.15872768976279644,5.461848257859494,0.6891311996368177,0.062668,0.8021940000000001,0.135182,0.45159779999999994,100.0,0.0,40.222,8.040000000000001,1978.0,7.0,196.0,28.0,3.0,0.0,1978-07-01,0,6.2,2395.053,65.5
1978-08-31,0.5968386089928732,0.5798550409167224,0.6543173944501192,0.264547104411756,120.69097260758984,-10.292471549449356,0.05126850351637253,0.017907250544480002,0.18418569646484212,4.89743558698179,0.7422910576121541,0.0661875,0.7964675,0.1373425,0.49328125,100.0,0.0,39.955,7.7725,1978.0,8.0,227.5,32.5,3.0,0.0,1978-08-01,0,5.9,2395.053,65.9
1978-09-30,0.6067666116350333,0.5914628279924935,0.659592896168373,0.25766147986198534,121.41616694835736,-10.149524741074185,0.0504943870703375,0.01762266225978094,0.17520324447110242,4.84604603653467,0.6928492529158847,0.065386,0.790368,0.14422600000000002,0.5618086,100.0,0.0,40.38,7.709999999999999,1978.0,9.0,259.0,37.0,3.0,0.0,1978-09-01,0,6.0,2395.053,66.5
1978-10-31,0.6133383420441346,0.6010469076655053,0.649233449477352,0.2634437272067363,118.48275391986064,-10.005080792682927,0.04982707607433212,0.029425044134727026,0.1756756823461091,4.84284262485482,0.6668118466898955,0.0626575,0.7841750000000001,0.1531175,0.57558175,100.0,0.0,42.582499999999996,7.46,1978.0,10.0,290.5,41.5,4.0,0.0,1978-10-01,0,5.8,2476.949,67.1
1978-11-30,0.6228300802879291,0.5838252133041377,0.6682137760495318,0.24990766673588033,116.48796953651969,-10.271254907882815,0.050135381745192775,0.0361375146072435,0.1702139909267089,4.760794196113963,0.7092897412664855,0.0626575,0.7812675,0.1560425,0.5416752499999999,100.0,0.0,43.085,7.525,1978.0,11.0,318.5,45.5,4.0,1.0,1978-11-01,0,5.9,2476.949,67.5
1978-12-31,0.6105471317063333,0.5824804101513804,0.6582519519096428,0.24041241338041738,117.01105983479299,-10.40181268102775,0.048892527510098774,0.03663451881934412,0.1846844122844093,5.132849763906126,0.7375196675831404,0.071706,0.765426,0.162846,0.5344762000000001,100.0,0.0,41.988,8.018,1978.0,12.0,350.0,50.0,4.0,1.0,1978-12-01,0,6.0,2476.949,67.9
1979-01-31,0.6096087028997843,0.5936817153274315,0.6781011682839633,0.22774155788928604,119.58275414183976,-10.443209617949154,0.0488424078566564,0.038360065751617274,0.19120119538077396,5.103661616161617,0.70430215072069,0.0701325,0.7676325,0.1622525,0.5408535,100.0,0.0,41.0825,8.35,1979.0,1.0,16.5,2.5,1.0,0.0,1979-01-01,0,5.9,2526.61,68.5
1979-02-28,0.6359053743961351,0.5910970410628019,0.7023467330917874,0.20581563067632844,118.68308164251206,-10.839867934782609,0.04882173913043472,0.061316008393719756,0.1718496014492753,4.834118357487922,0.723731884057971,0.06597999999999997,0.778925,0.15512999999999993,0.5134885,100.0,0.0,43.1575,7.47,1979.0,2.0,44.5,6.5,1.0,0.0,1979-02-01,0,5.9,2526.61,69.2
1979-03-31,0.6452749893791445,0.6242308836894821,0.7108269273514903,0.17644147918193678,120.95647767018741,-10.438565343576812,0.052606511319144525,0.07840239069286425,0.16192669436308452,4.895015967019599,0.6754878946548365,0.060829999999999995,0.774992,0.16418799999999997,0.5581908,100.0,0.0,42.706,7.542,1979.0,3.0,76.0,11.0,1.0,0.0,1979-03-01,0,5.8,2526.61,69.9
1979-04-30,0.6545926674158036,0.6401831004494821,0.7268790605660869,0.17803714672659754,120.22581008973357,-10.190936988632663,0.05372845050811015,0.07166287583056473,0.14113572902416777,4.7196713569148585,0.6618795192495603,0.0573525,0.7749775000000001,0.16767749999999995,0.54207175,100.0,0.0,43.4425,7.03,1979.0,4.0,107.5,15.5,2.0,0.0,1979-04-01,0,5.8,2591.247,70.6
1979-05-31,0.6677891619499239,0.6313964973271791,0.7500333058891901,0.19066023213112537,121.48937476275907,-10.425222393016973,0.052664418773759124,0.038965442572955075,0.13814771287109248,4.994592240396656,0.6356961968453976,0.05845249999999998,0.777625,0.16391999999999998,0.502817,100.0,0.0,40.945,7.359999999999999,1979.0,5.0,135.5,19.5,2.0,0.0,1979-05-01,0,5.6,2591.247,71.4
1979-06-30,0.6598247140844562,0.6262888983612085,0.7517575238714495,0.21095237685462792,120.34257695842214,-10.334484459776757,0.04549536182253846,0.0310658897518332,0.15429980784837863,5.180680080434442,0.6574542739828294,0.067154,0.77884,0.15400799999999998,0.46087059999999996,100.0,0.0,39.102,7.636,1979.0,6.0,167.0,24.0,2.0,0.0,1979-06-01,0,5.7,2591.247,72.2
1979-07-31,0.6295526442918891,0.6251671275108059,0.722075394101195,0.2530425486587846,119.24791786803966,-10.050669301423849,0.04533995677599792,0.03321021299262645,0.17785195302568008,5.043573607932876,0.6886505212306128,0.06105749999999995,0.794735,0.1442625,0.46995824999999997,100.0,0.0,40.675,7.4825,1979.0,7.0,198.5,28.5,3.0,0.0,1979-07-01,0,5.7,2667.565,73.0
1979-08-31,0.6421724439998848,0.6371562531448598,0.7347842036482826,0.23217138532607853,122.09464474366763,-9.80057370338963,0.0494946651771804,0.04922532280075033,0.1860900323596395,4.421217702128686,0.6898208621741166,0.059295,0.7960075,0.1447275,0.441816,100.0,0.0,40.5625,7.5625,1979.0,8.0,226.5,32.5,3.0,0.0,1979-08-01,0,6.0,2667.565,73.7
1979-09-30,0.6104162140584457,0.6364849869089969,0.691635645216207,0.21441660152806635,126.23196470712548,-9.880031621229733,0.04803584613081608,0.03749571450489,0.17263793314782844,4.148126166742982,0.7453650217792023,0.06848,0.78661,0.14491199999999999,0.3937574,100.0,0.0,42.482000000000006,7.6,1979.0,9.0,258.0,37.0,3.0,0.0,1979-09-01,0,5.9,2667.565,74.4
1979-10-31,0.6030527225583405,0.626908507223114,0.690605908136807,0.23682071021113713,129.38549327077416,-9.911038893690579,0.046167696629213426,0.03090532763304105,0.16916739720953197,4.2356155080874185,0.7861773058402272,0.07778749999999998,0.756965,0.165285,0.4646462499999999,100.0,0.0,42.5775,7.4875,1979.0,10.0,289.5,41.5,4.0,0.0,1979-10-01,0,6.0,2723.883,75.2
1979-11-30,0.6129044377049293,0.6149578890452556,0.6872111294183344,0.2669717631698435,123.7419751122473,-10.260512882716533,0.055033201954100774,0.044262963685019675,0.16206100312141036,4.8500202824641026,0.7514071134857652,0.07448499999999997,0.7647550000000001,0.16078499999999998,0.48325875,100.0,0.0,42.515,7.185,1979.0,11.0,317.5,45.5,4.0,1.0,1979-11-01,0,5.9,2723.883,76.0
