week_date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1959-01-17,0.033171758,0.022338701,0.015489946,0.03325531,0.017488068,0.016398715,0.075570695,0.019071853,0.009358334,0.019075109,0.033237446,0.05126373,0.020749308,0.014325173,0.026919542,0.023861926,0.030555334,0.026716195,0.05491976,0.056738686,0.1313422,0.059017036,0.026251521,0.037608556,0.04374174,0.0129050845,0.016779678,0.02133402,0.009957351,0.040557295
1959-01-24,0.03283705,0.017035568,0.017939582,0.034155603,0.017497431,0.016914178,0.07488108,0.019851116,0.0096104825,0.020643724,0.045816623,0.054888416,0.013751932,0.012815497,0.032707818,0.019226993,0.025448075,0.028471604,0.065427355,0.058751967,0.13041724,0.06112377,0.023201972,0.022306293,0.04218483,0.010359711,0.013597358,0.024219537,0.010250863,0.043666407
1959-01-31,0.034656588,0.020409359,0.021291018,0.03371305,0.029888317,0.016635953,0.08093614,0.019803202,0.010487754,0.018145366,0.044125557,0.057754736,0.012491259,0.017187158,0.030793158,0.01850576,0.028148586,0.031214628,0.059305914,0.053621795,0.12530212,0.05710347,0.02451994,0.021224692,0.04261024,0.009838769,0.011399743,0.018633027,0.009830098,0.04042268
1959-02-07,0.02690981,0.01951066,0.023634404,0.03544711,0.03173778,0.017307457,0.07954585,0.020630084,0.0120032,0.015741585,0.04429243,0.054777008,0.015092202,0.019796124,0.030045107,0.01721487,0.029808057,0.0285576,0.06157568,0.050140887,0.11264129,0.06004412,0.026587442,0.021108015,0.046745766,0.010382774,0.012220068,0.021397604,0.010422561,0.044682547
1959-02-14,0.03355714,0.019055847,0.025741786,0.033085868,0.028355641,0.0151945315,0.08486476,0.021455342,0.013034309,0.019140355,0.032741204,0.048128184,0.014802035,0.018725738,0.030742165,0.016890494,0.040863473,0.036555573,0.0653615,0.049013846,0.09907067,0.060492348,0.028139675,0.019641094,0.04623735,0.006342665,0.009550427,0.021691127,0.011872114,0.049652826
1959-02-21,0.032861993,0.019994315,0.02430043,0.034039162,0.027593207,0.014694456,0.07062919,0.023010371,0.015892541,0.015664812,0.03257285,0.049828175,0.014306095,0.017227083,0.04323619,0.018205611,0.03317627,0.053174607,0.06559133,0.04711312,0.09383672,0.0563184,0.031355552,0.020537443,0.04840117,0.0066033197,0.008380295,0.019866047,0.008965562,0.052623782
1959-02-28,0.03818335,0.023928136,0.026729707,0.032345735,0.023988714,0.013800101,0.07272843,0.023572795,0.013898523,0.015291229,0.030602286,0.05171474,0.014478752,0.017135065,0.03633968,0.015739627,0.030796658,0.054372203,0.07632133,0.045548778,0.09159764,0.051079247,0.031970285,0.019620191,0.057074886,0.0065246276,0.006517188,0.020008355,0.008679707,0.049412124
1959-03-07,0.03509221,0.02128434,0.02410687,0.036112726,0.02295524,0.011618082,0.09338178,0.022279263,0.017103449,0.014525908,0.03940119,0.04482806,0.012482928,0.019248733,0.04315278,0.015641192,0.030407412,0.046955872,0.07736673,0.037385035,0.07779473,0.05613684,0.026488055,0.032009747,0.055724695,0.0069535994,0.00803256,0.01534348,0.0093566775,0.046829898
1959-03-14,0.036934108,0.01995265,0.02332283,0.031404004,0.024274506,0.009877502,0.08321884,0.01952167,0.017594203,0.014570829,0.036724783,0.037514508,0.012301804,0.025118442,0.040991757,0.015820349,0.033275653,0.048223622,0.091747776,0.037842907,0.08075443,0.06468322,0.026804276,0.021173244,0.059672102,0.0068130135,0.008379306,0.015694872,0.010817481,0.04497537
1959-03-21,0.03206057,0.022514228,0.021178296,0.0294447,0.02711587,0.010854958,0.07602231,0.02923771,0.025717419,0.013654935,0.034417305,0.031046705,0.01400147,0.024738362,0.04273725,0.01502356,0.03058082,0.05024666,0.084797405,0.042409793,0.087859035,0.053209364,0.029868959,0.016440576,0.057007153,0.0061179125,0.00867721,0.017364575,0.011979545,0.05367542
